,HLM_ELM,MLMP,SLMP,SLMPbox,Linear SVC,RBF SVC,DEP,r-DEP (Ensemble),r-DEP (Bagging)
Thoracic Surgery,0.5,0.49375,0.5294642857142857,0.5294642857142857,0.5,0.5,0.5116071428571428,0.4973214285714286,0.45803571428571427
Thoracic Surgery,0.5,0.5,0.5,0.5294642857142857,0.5,0.5,0.49017857142857146,0.4464285714285714,0.51875
Thoracic Surgery,0.5,0.48125,0.49375,0.49375,0.5,0.5,0.475,0.46339285714285716,0.5392857142857143
Credit Approval,0.8183361629881154,0.49257215619694394,0.4823853989813243,0.4823853989813243,0.8514431239388794,0.8455008488964346,0.5698217317487266,0.8183361629881154,0.8344651952461799
Credit Approval,0.8535653650254669,0.506578947368421,0.506578947368421,0.506578947368421,0.8720288624787775,0.8478353140916808,0.44630730050933787,0.8397707979626485,0.8338285229202038
Credit Approval,0.8841813923781137,0.5454545454545454,0.4982967851820311,0.49010006387055566,0.8780072386629764,0.869810517351501,0.8780072386629764,0.9152650628060464,0.8664040877155632
Credit Approval,0.8462848626783053,0.5307643176495636,0.48669363423461787,0.48669363423461787,0.8909942516499894,0.907068341494571,0.7991271024057909,0.8841813923781137,0.8527783691718118
Credit Approval,0.7892271662763466,0.5,0.5064935064935064,0.5064935064935064,0.8175431126250798,0.828826910794124,0.5885671705343836,0.8319139876516926,0.851394507132212
Hill-Valley,0.5213047012599918,0.4732421081154315,0.5,0.5041999729034006,0.5992074244682293,0.5091789730388836,0.5259788646524861,0.6625795962606693,0.5389513616041186
Hill-Valley,0.5487400081289798,0.46470667931174636,0.5040644899065168,0.4999322585015581,0.6065235062999593,0.5033870749220973,0.5438287494919387,0.7244614550873865,0.6051348055818995
Hill-Valley,0.5371900826446281,0.47520661157024796,0.49173553719008267,0.4917355371900826,0.5826446280991736,0.5041322314049587,0.5082644628099173,0.8181818181818182,0.7231404958677685
Hill-Valley,0.5661157024793388,0.5,0.5041322314049587,0.4917355371900826,0.6074380165289256,0.48760330578512395,0.5495867768595041,0.7272727272727273,0.5537190082644627
Hill-Valley,0.5867768595041323,0.4504132231404958,0.5,0.5,0.6363636363636364,0.5206611570247934,0.5661157024793388,0.7520661157024793,0.5743801652892562
